ts,event,type,edge_pershare,exec_size,profit_at_depth,n_legs
2026-07-23T20:11:19+00:00,Fed Decision in July?,SELL-ALL,0.006,48.8,0.29,5
2026-07-24T04:08:26+00:00,Fed Decision in September?,BUY-ALL,0.006,20.0,0.12,5
2026-07-24T04:38:56+00:00,Fed Decision in September?,BUY-ALL,0.006,612.7,3.68,5
2026-07-24T05:09:20+00:00,Fed Decision in September?,BUY-ALL,0.006,638.5,3.83,5
2026-07-24T05:39:50+00:00,Fed Decision in September?,BUY-ALL,0.006,664.7,3.99,5
2026-07-24T06:10:20+00:00,Fed Decision in September?,BUY-ALL,0.007,664.7,4.65,5
2026-07-24T06:10:20+00:00,"Elon Musk # tweets July 23 - July 25, 2026?",BUY-ALL,0.013,10.0,0.13,10
2026-07-24T06:31:58+00:00,Fed Decision in September?,BUY-ALL,0.007,664.7,4.65,5
2026-07-24T06:33:25+00:00,Fed Decision in September?,BUY-ALL,0.007,664.7,4.65,5
2026-07-24T09:21:21+00:00,Fed Decision in September?,BUY-ALL,0.007,668.3,4.68,5
2026-07-24T11:17:07+00:00,Fed Decision in September?,BUY-ALL,0.007,665.4,4.66,5
2026-07-24T12:57:26+00:00,Fed Decision in September?,BUY-ALL,0.007,718.0,5.03,5
2026-07-24T14:59:36+00:00,"Elon Musk # tweets July 24 - July 31, 2026?",SELL-ALL,0.023,0,0.0,26
2026-07-24T19:54:56+00:00,Highest temperature in Hong Kong on July 25?,SELL-ALL,0.009,0,0.0,11
2026-07-24T21:02:03+00:00,Highest temperature in Hong Kong on July 25?,SELL-ALL,0.013,0,0.0,11
2026-07-25T14:47:12+00:00,Fed Decision in July?,SELL-ALL,0.008,1083.0,8.66,5
2026-07-25T16:03:32+00:00,Fed Decision in July?,SELL-ALL,0.007,910.6,6.37,5
2026-07-25T18:31:27+00:00,Fed Decision in July?,SELL-ALL,0.009,6666.3,60.0,5
2026-07-25T20:10:08+00:00,Fed Decision in July?,SELL-ALL,0.006,6090.5,36.54,5
2026-07-25T21:25:02+00:00,Philadelphia Union vs. Seattle Sounders FC,SELL-ALL,0.01,1652.2,16.52,3
2026-07-26T12:02:39+00:00,Fed Decision in July?,SELL-ALL,0.01,5026.7,50.27,5
2026-07-26T12:02:39+00:00,Gwangju FC vs. Jeju SK FC,BUY-ALL,0.04,9.0,0.36,3
2026-07-26T14:08:27+00:00,Fed Decision in July?,SELL-ALL,0.009,1715.9,15.44,5
2026-07-26T20:56:59+00:00,Fed Decision in July?,SELL-ALL,0.009,258.5,2.33,5
2026-07-26T22:01:45+00:00,CD Comerciantes Unidos vs. Club Alianza Lima,SELL-ALL,0.03,10.0,0.3,3
2026-07-27T01:11:53+00:00,Fed Decision in July?,SELL-ALL,0.01,1547.1,15.47,5
2026-07-27T15:24:14+00:00,How many Fed rate cuts in 2026?,BUY-ALL,0.029,13.9,0.4,13
2026-07-27T23:00:40+00:00,"Elon Musk # tweets July 27 - July 29, 2026?",SELL-ALL,0.01,0,0.0,10
2026-07-28T00:54:28+00:00,Fed Decision in September?,SELL-ALL,0.016,19.6,0.31,5
2026-07-28T04:07:58+00:00,Fed Decision in September?,SELL-ALL,0.011,312.3,3.44,5
2026-07-28T04:07:58+00:00,"Elon Musk # tweets July 27 - July 29, 2026?",SELL-ALL,0.013,0.0,0.0,10
2026-07-28T04:07:58+00:00,Where will the next next round of US-Iran peace talks be...?,BUY-ALL,0.021,5.1,0.11,19
2026-07-28T07:12:59+00:00,Fed Decision in September?,BUY-ALL,0.009,53.4,0.48,5
2026-07-28T07:12:59+00:00,Where will the next next round of US-Iran peace talks be...?,BUY-ALL,0.013,5.1,0.07,19
2026-07-28T10:05:33+00:00,Fed Decision in September?,BUY-ALL,0.018,53.4,0.96,5
2026-07-28T10:05:33+00:00,Where will the next next round of US-Iran peace talks be...?,BUY-ALL,0.014,5.1,0.07,19
2026-07-28T12:20:37+00:00,Fed Decision in September?,BUY-ALL,0.012,53.4,0.64,5
2026-07-28T14:58:44+00:00,Fed Decision in July?,SELL-ALL,0.005,20.0,0.1,5
2026-07-28T18:13:46+00:00,Fed Decision in September?,SELL-ALL,0.017,71.3,1.21,5
2026-07-28T20:01:00+00:00,CA Rosario Central vs. Racing Club,SELL-ALL,0.01,54.9,0.55,3
2026-07-28T20:01:00+00:00,Fed Decision in September?,SELL-ALL,0.005,1114.2,5.57,5
