ts,symbol,spot,funding_8h,annualized,side,perp_quote_vol_24h,mark,note
2026-08-02T06:42:21+00:00,HYPER/USDT:USDT,HYPER/USDT,-0.009498,-10.4002,long-perp/short-spot,28993526,0.06822,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,SYN/USDT:USDT,SYN/USDT,-0.002992,-3.2759,long-perp/short-spot,33133380,0.0898,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,EUL/USDT:USDT,EUL/USDT,-0.002749,-3.0102,long-perp/short-spot,103584441,1.45238386,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,LA/USDT:USDT,LA/USDT,-0.001733,-1.8981,long-perp/short-spot,7527538,0.04964032,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,DEXE/USDT:USDT,DEXE/USDT,-0.001197,-1.3104,long-perp/short-spot,45089460,2.276,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,MMT/USDT:USDT,MMT/USDT,-0.000931,-1.0195,long-perp/short-spot,79822794,0.1767,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,VANRY/USDT:USDT,VANRY/USDT,-0.000843,-0.9229,long-perp/short-spot,13586739,0.00377762,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,VANA/USDT:USDT,VANA/USDT,-0.00082,-0.8976,long-perp/short-spot,3634658,0.8685,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,ERA/USDT:USDT,ERA/USDT,-0.000809,-0.8863,long-perp/short-spot,11296618,0.06613,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,RLC/USDT:USDT,RLC/USDT,-0.000809,-0.886,long-perp/short-spot,2954648,0.26327285,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,ZIL/USDT:USDT,ZIL/USDT,-0.000806,-0.8823,long-perp/short-spot,3410172,0.002611,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,OGN/USDT:USDT,OGN/USDT,-0.000741,-0.8114,long-perp/short-spot,5747453,0.01501339,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,ACH/USDT:USDT,ACH/USDT,-0.000473,-0.5179,long-perp/short-spot,3108984,0.004408,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,TLM/USDT:USDT,TLM/USDT,-0.000466,-0.5105,long-perp/short-spot,33742087,0.001578,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,ESP/USDT:USDT,ESP/USDT,-0.000402,-0.4398,long-perp/short-spot,14727511,0.07277579,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,CFX/USDT:USDT,CFX/USDT,-0.000346,-0.3794,long-perp/short-spot,9280301,0.0428637,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,T/USDT:USDT,T/USDT,-0.000325,-0.3564,long-perp/short-spot,2623942,0.00334908,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,PROM/USDT:USDT,PROM/USDT,-0.000282,-0.3083,long-perp/short-spot,13387502,1.866,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,KSM/USDT:USDT,KSM/USDT,-0.000256,-0.2803,long-perp/short-spot,5603813,3.09617188,"carry trade, basis+liquidation risk, NOT a lock"
2026-08-02T06:42:21+00:00,AERO/USDT:USDT,AERO/USDT,-0.000223,-0.2437,long-perp/short-spot,7839428,0.40056518,"carry trade, basis+liquidation risk, NOT a lock"
