market_id,won_no,graded_at
3251608,1,1788290280
3714039,0,1788290280
3714047,1,1788290280
3714049,1,1788290280
3714052,1,1788290280
3714056,1,1788290280
3714099,1,1788290280
3714100,1,1788290280
3714101,1,1788290280
3714102,1,1788290280
3714104,1,1788290280
3714108,1,1788290280
3714117,0,1788290280
3716608,1,1788290280
3716609,1,1788290280
3716610,1,1788290280
3716611,1,1788290280
3716613,1,1788290280
3716614,1,1788290280
3716617,1,1788290280
10,1,1788290408
11,0,1788290408
