date,n,eff_n,mo_ideal,mo_live,rebate_live,net_live,net_ideal,per_share,adverse_pct,t_live,top3_share,significant
2026-08-09,2802,280.5,1216.72,66.75,107.39,174.14,1729.83,0.002141,0.156,6.88,0.038,True
2026-08-10,2170,193.8,-400.92,-74.51,114.07,39.57,341.11,-0.000759,0.193,0.77,-0.442,False
2026-08-11,2802,202.5,313.58,-94.43,118.97,24.54,1278.53,0.000248,0.218,0.42,-2.659,False
2026-08-12,4393,421.1,-490.43,-460.47,224.96,-235.52,2896.58,-0.000166,0.237,-2.68,0.228,True
2026-08-13,1923,155.1,834.71,26.71,102.07,128.78,2078.7,0.000923,0.13,4.03,-0.063,True
2026-08-14,2197,102.0,693.67,-79.38,117.0,37.62,1629.15,0.000996,0.142,0.88,-1.333,False
2026-08-15,3008,295.9,-5169.87,35.81,175.05,210.86,-2406.16,-0.003191,0.11,7.79,-0.036,True
2026-08-16,3854,297.2,2335.88,34.92,177.27,212.18,3545.28,0.001312,0.169,3.96,0.057,True
2026-08-17,321,31.7,98.49,107.33,18.76,126.08,223.83,0.001613,0.421,2.86,0.483,True
2026-08-28,291,79.7,-510.58,-14.56,22.16,7.6,-35.52,-0.001756,0.254,0.59,-0.48,False
2026-08-29,787,134.3,364.85,-8.67,56.71,48.05,874.98,0.001186,0.207,2.83,0.155,True
2026-08-30,1351,59.6,160.63,-118.27,45.41,-72.86,533.83,0.000382,0.161,-1.07,0.933,False
2026-08-31,393,39.8,321.79,-16.94,17.19,0.25,630.51,0.000886,0.244,0.01,-83.196,False
2026-09-01,652,44.6,628.92,45.65,51.84,97.48,1132.59,0.002335,0.207,2.2,0.144,True
2026-09-02,1244,294.7,-639.9,-191.28,98.81,-92.47,261.22,-0.001256,0.401,-1.28,0.212,False
2026-09-03,1178,216.4,1570.28,-1.94,83.18,81.24,2428.7,0.003132,0.239,1.79,0.125,False
2026-09-04,1106,66.5,2589.61,-71.77,74.37,2.6,3066.11,0.00698,0.227,0.06,9.214,False
2026-09-05,694,30.5,0.2,37.99,43.87,81.86,379.34,1e-06,0.21,0.9,-0.364,False
2026-09-06,1394,342.5,600.72,-71.94,84.05,12.11,1210.79,0.00096,0.234,0.38,-0.659,False
2026-09-07,944,94.9,-91.64,-5.96,40.37,34.41,442.63,-0.000283,0.147,2.66,0.191,True
2026-09-08,843,252.3,1764.36,11.5,68.29,79.79,2710.51,0.003656,0.125,10.48,0.015,True
2026-09-09,1041,241.4,1002.82,-44.91,81.11,36.2,2384.68,0.001496,0.243,1.48,0.132,False
2026-09-10,978,126.1,1314.92,-7.03,72.39,65.36,1812.64,0.004381,0.184,2.81,0.088,True
2026-09-11,1098,300.1,10201.41,36.56,105.44,142.0,15396.02,0.004244,0.084,15.15,-0.043,True
