ts,event,buy_edge,sell_edge,n
2026-07-23T11:42+00:00,Fed Decision in July?,0.0,0.005,5
2026-07-23T11:42+00:00,NBA: LeBron James Next Team,0.0,0.012,36
2026-07-23T11:42+00:00,Brazil Presidential Election,0.0,0.012,32
2026-07-23T11:42+00:00,Fed Decision in September?,0.019,0.0,5
2026-07-23T11:42+00:00,NBA: 2027 Champion,0.0,0.018,36
2026-07-23T11:42+00:00,UEFA Champions League: 2027 Champion,0.0,0.018,42
2026-07-23T11:42+00:00,MLB World Series Champion 2026,0.0,0.018,31
2026-07-23T11:42+00:00,NFL Champion 2027,0.0,0.005,33
2026-07-23T11:42+00:00,F1 Drivers' Champion,0.0,0.006,32
2026-07-23T11:42+00:00,Fed Decision in July?,0.0,0.005,5
2026-07-23T11:42+00:00,NBA: LeBron James Next Team,0.0,0.012,36
2026-07-23T11:42+00:00,Brazil Presidential Election,0.0,0.012,32
2026-07-23T11:42+00:00,Fed Decision in September?,0.019,0.0,5
2026-07-23T11:42+00:00,NBA: 2027 Champion,0.0,0.018,36
2026-07-23T11:42+00:00,UEFA Champions League: 2027 Champion,0.0,0.018,42
2026-07-23T11:42+00:00,MLB World Series Champion 2026,0.0,0.018,31
2026-07-23T11:42+00:00,NFL Champion 2027,0.0,0.005,33
2026-07-23T11:42+00:00,F1 Drivers' Champion,0.0,0.006,32
2026-07-23T13:54+00:00,Fed Decision in July?,0,0.006,5
2026-07-23T13:54+00:00,Brazil Presidential Election,0,0.012,32
2026-07-23T13:54+00:00,NBA: 2027 Champion,0,0.025,36
2026-07-23T13:54+00:00,UEFA Champions League: 2027 Champion,0,0.017,42
2026-07-23T13:54+00:00,MLB World Series Champion 2026,0,0.019,31
2026-07-23T13:54+00:00,NFL Champion 2027,0,0.006,33
2026-07-23T18:07+00:00,NBA: LeBron James Next Team,0,0.011,36
2026-07-23T18:07+00:00,Brazil Presidential Election,0,0.008,32
2026-07-23T18:07+00:00,NBA: 2027 Champion,0,0.017,36
2026-07-23T18:07+00:00,UEFA Champions League: 2027 Champion,0,0.017,42
2026-07-23T18:07+00:00,BLAST Bounty 2026 Season 2: Winner,0,0.015,38
2026-07-23T18:07+00:00,MLB World Series Champion 2026,0,0.02,31
2026-07-24T04:07+00:00,NBA: LeBron James Next Team,0.0,0.023,36
2026-07-24T04:07+00:00,NBA: 2027 Champion,0.0,0.006,36
2026-07-24T04:07+00:00,Fed Decision in September?,0.006,0.0,5
2026-07-24T04:07+00:00,Next Claude Opus released on...?,0.0,0.014,18
2026-07-24T04:07+00:00,Fed decisions (Jun-Sep),0.012,0.0,9
2026-07-24T04:07+00:00,MLB World Series Champion 2026,0.0,0.016,31
2026-07-24T04:07+00:00,UEFA Champions League: 2027 Champion,0.0,0.007,42
2026-07-24T04:07+00:00,NFL Champion 2027,0.0,0.008,33
2026-07-24T05:04+00:00,NBA: LeBron James Next Team,0.0,0.017,36
2026-07-24T05:04+00:00,NBA: 2027 Champion,0.0,0.007,36
2026-07-24T05:04+00:00,Fed Decision in September?,0.006,0.0,5
2026-07-24T05:04+00:00,MLB World Series Champion 2026,0.0,0.016,31
2026-07-24T05:04+00:00,UEFA Champions League: 2027 Champion,0.0,0.007,42
2026-07-24T05:04+00:00,BLAST Bounty 2026 Season 2: Winner,0.0,0.006,38
