ts,stem,negated,gross_lock,sell,sell_bid,buy,buy_ask,lockup_days
2026-08-02T04:11:13+00:00,mike johnson out as speaker <dl>,0,0.029,Mike Johnson out as Speaker by September 30?,0.03,Mike Johnson out as Speaker by December 31?,0.001,90
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.229,Will Russia capture Kostyantynivka by August 15?,0.23,Will Russia capture Kostyantynivka by August 31?,0.001,0
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.229,Will Russia capture Kostyantynivka by August 15?,0.23,Will Russia capture Kostyantynivka by September 30?,0.001,30
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.229,Will Russia capture Kostyantynivka by August 15?,0.23,Will Russia capture Kostyantynivka by October 31?,0.001,60
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.229,Will Russia capture Kostyantynivka by August 15?,0.23,Will Russia capture Kostyantynivka by November 30?,0.001,90
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.229,Will Russia capture Kostyantynivka by August 15?,0.23,Will Russia capture Kostyantynivka by December 31?,0.001,120
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.619,Will Russia capture Kostyantynivka by August 31?,0.62,Will Russia capture Kostyantynivka by September 30?,0.001,30
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.619,Will Russia capture Kostyantynivka by August 31?,0.62,Will Russia capture Kostyantynivka by October 31?,0.001,60
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.619,Will Russia capture Kostyantynivka by August 31?,0.62,Will Russia capture Kostyantynivka by November 30?,0.001,90
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.619,Will Russia capture Kostyantynivka by August 31?,0.62,Will Russia capture Kostyantynivka by December 31?,0.001,120
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.819,Will Russia capture Kostyantynivka by September 30?,0.82,Will Russia capture Kostyantynivka by October 31?,0.001,30
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.819,Will Russia capture Kostyantynivka by September 30?,0.82,Will Russia capture Kostyantynivka by November 30?,0.001,60
2026-08-02T04:11:13+00:00,will russia capture kostyantynivka <dl>,0,0.819,Will Russia capture Kostyantynivka by September 30?,0.82,Will Russia capture Kostyantynivka by December 31?,0.001,90
2026-08-02T04:11:13+00:00,will russia capture lyman <dl>,0,0.119,"Will Russia capture Lyman by September 30, 2026?",0.12,Will Russia capture Lyman by November 30?,0.001,60
2026-08-02T04:11:13+00:00,will russia capture lyman <dl>,0,0.119,"Will Russia capture Lyman by September 30, 2026?",0.12,Will Russia capture Lyman by December 31?,0.001,90
2026-08-02T04:11:13+00:00,will gpt 6 be released <dl>,0,0.023,"Will GPT-6 be released by August 14, 2026?",0.024,Will GPT-6 be released by December 31?,0.001,120
2026-08-02T04:11:13+00:00,will gpt 6 be released <dl>,0,0.089,"Will GPT-6 be released by August 21, 2026?",0.09,Will GPT-6 be released by December 31?,0.001,120
2026-08-02T04:11:13+00:00,will gpt 6 be released <dl>,0,0.159,"Will GPT-6 be released by August 31, 2026?",0.16,Will GPT-6 be released by December 31?,0.001,120
2026-08-02T04:11:13+00:00,will gpt 6 be released <dl>,0,0.589,"Will GPT-6 be released by September 30, 2026?",0.59,Will GPT-6 be released by December 31?,0.001,90
2026-08-02T04:11:13+00:00,u s x russia nuclear deal <dl>,0,0.03,U.S. x Russia Nuclear deal by September 30?,0.031,U.S. x Russia Nuclear deal by December 31?,0.001,90
2026-08-02T04:11:13+00:00,lecornu out as french pm <dl>,0,0.019,"Lecornu  out as French PM by September 30, 2026?",0.02,Lecornu  out as French PM by October 31?,0.001,30
2026-08-02T04:11:13+00:00,lecornu out as french pm <dl>,0,0.019,"Lecornu  out as French PM by September 30, 2026?",0.02,Lecornu  out as French PM by November 30?,0.001,60
2026-08-02T04:11:13+00:00,lecornu out as french pm <dl>,0,0.019,"Lecornu  out as French PM by September 30, 2026?",0.02,Lecornu  out as French PM by December 31?,0.001,90
2026-08-02T04:11:13+00:00,will russia capture all of vovchansk <dl,0,0.189,Will Russia capture all of Vovchansk by September 30?,0.19,Will Russia capture all of Vovchansk by November 30?,0.001,60
2026-08-02T04:11:13+00:00,will russia capture all of vovchansk <dl,0,0.189,Will Russia capture all of Vovchansk by September 30?,0.19,Will Russia capture all of Vovchansk by December 31?,0.001,90
2026-08-02T04:11:13+00:00,will russia enter orikhiv <dl>,0,0.059,Will Russia enter Orikhiv by September 30?,0.06,Will Russia enter Orikhiv by December 31?,0.001,90
2026-08-02T04:11:13+00:00,will russia enter borova <dl>,0,0.139,Will Russia enter Borova by September 30?,0.14,Will Russia enter Borova by December 31?,0.001,90
2026-08-30T15:36:04+00:00,will daylight launch a token <dl>,0,0.02,"Will Daylight launch a token by December 31, 2026?",0.39,"Will Daylight launch a token by December 31, 2027?",0.37,365
