ts,wallet,title,outcome,entry,won,pnl
2026-07-23T13:54+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Generali Open: Tomas Etcheverry vs Ignacio Buse,Tomas Etcheverry,0.545,1,41.74
2026-07-23T13:54+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Estoril Open: Jaime Faria vs Gonzalo Bueno,Jaime Faria,0.865,1,7.8
2026-07-23T13:54+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Tampere: Henri Squire vs Franco Roncadelli,Henri Squire,0.9865,1,0.68
2026-07-23T13:54+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Generali Open: Tomas Etcheverry vs Ignacio Buse,Ignacio Buse,0.455,0,-50.0
2026-07-23T13:54+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Hamburg European Open: Paula Badosa vs Panna Udvardy,Panna Udvardy,0.405,0,-50.0
2026-07-23T13:54+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Generali Open: Tomas Etcheverry vs Ignacio Buse,Ignacio Buse,0.455,0,-50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Valletta FC win on 2026-07-23?,No,0.984,1,0.81
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Qarabağ Ağdam FK win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Qarabağ Ağdam FK vs. PFK CSKA Sofia end in a draw?,Yes,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Estoril Open: Pedro Martinez vs Luciano Darderi,Luciano Darderi,0.9645,1,1.84
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Zirə FK win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Palermo: Alevtina Ibragimova vs Alice Rame,Alevtina Ibragimova,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FC Hradec Králové win on 2026-07-23?,No,0.895,0,-50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will RKS Raków Częstochowa win on 2026-07-23?,Yes,0.88,1,6.82
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will PFK CSKA Sofia win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Hibernian FC win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will SK Brann win on 2026-07-23?,Yes,0.795,0,-50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FC CFR 1907 Cluj win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Helsingin JK win on 2026-07-23?,Yes,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Palermo: Mina Hodzic vs Noemi Basiletti,Mina Hodzic,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will SK Dila Gori win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will AEK Lárnakas win on 2026-07-23?,No,0.99,1,0.51
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FC Malisheva vs. Hibernian FC end in a draw?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will PAOK win on 2026-07-23?,Yes,0.665,1,25.19
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FC Sion win on 2026-07-23?,Yes,0.645,0,-50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will ÍF Vestri win on 2026-07-23?,No,0.995,1,0.25
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will RSC Anderlecht win on 2026-07-23?,Yes,0.465,0,-50.0
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Alashkert FA vs. FC CFR 1907 Cluj end in a draw?,Yes,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Alashkert FA win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FK Austria Wien win on 2026-07-23?,Yes,0.9995,1,0.03
2026-07-23T18:07+00:00,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Tromsø IL win on 2026-07-23?,No,0.425,1,67.65
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Bloomfield Hills: Roger Pascual vs Andres Martin,Roger Pascual,0.535,0,-50.0
2026-07-23T18:07+00:00,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,Palermo: Mina Hodzic vs Noemi Basiletti,Noemi Basiletti,0.0005,0,-50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC Flora win on 2026-07-23?,Yes,0.9995,1,0.03
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will SK Dinamo Tbilisi win on 2026-07-23?,Yes,0.9895,1,0.53
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Tromsø IL win on 2026-07-23?,Yes,0.575,0,-50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC CFR 1907 Cluj win on 2026-07-23?,No,0.9995,1,0.03
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Noah FA win on 2026-07-23?,No,0.835,1,9.88
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FC Koper win on 2026-07-23?,No,0.605,0,-50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Houston Dash win on 2026-07-24?,Yes,0.355,1,90.85
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Hammarby Fotboll win on 2026-07-23?,Yes,0.225,0,-50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Kansas City Current win on 2026-07-25?,Yes,0.405,0,-50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FK Austria Wien win on 2026-07-23?,Yes,0.9995,1,0.03
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will Orlando Pride win on 2026-07-24?,Yes,0.65,1,26.92
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will FCSB win on 2026-07-23?,Yes,0.525,0,-50.0
2026-07-23T18:07+00:00,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,Will NK Bravo win on 2026-07-23?,No,0.5649,0,-50.0
