ts,key,kalshi,poly_q,kalshi_parse,poly_parse,confidence,kalshi_bid,kalshi_ask,poly_bid,poly_ask,basis_sell_kalshi,basis_sell_poly,best_basis
2026-09-01T01:20:27+00:00,F|cut|50plus|2026-09,KXFEDDECISION-26SEP-C26,Will the Fed decrease interest rates by 50+ bps after the September 2026 meeting?,FED|cut|50plus|2026-09,FED|cut|50plus|2026-09,equiv_25bp_grid,0.0,0.01,0.002,0.003,,-0.008,-0.008
2026-09-01T01:20:27+00:00,F|cut|25|2026-09,KXFEDDECISION-26SEP-C25,Will the Fed decrease interest rates by 25 bps after the September 2026 meeting?,FED|cut|25|2026-09,FED|cut|25|2026-09,exact,0.0,0.01,0.005,0.006,,-0.005,-0.005
2026-09-01T01:20:27+00:00,F|nochange|0|2026-09,KXFEDDECISION-26SEP-H0,Will there be no change in Fed interest rates after the September 2026 meeting?,FED|nochange|0|2026-09,FED|nochange|0|2026-09,exact,0.41,0.42,0.43,0.44,-0.03,0.01,0.01
2026-09-01T01:20:27+00:00,F|hike|25|2026-09,KXFEDDECISION-26SEP-H25,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,FED|hike|25|2026-09,FED|hike|25|2026-09,exact,0.57,0.58,0.54,0.55,0.02,-0.04,0.02
2026-09-01T01:20:27+00:00,F|hike|50plus|2026-09,KXFEDDECISION-26SEP-H26,Will the Fed increase interest rates by 50+ bps after the September 2026 meeting?,FED|hike|50plus|2026-09,FED|hike|50plus|2026-09,equiv_25bp_grid,0.01,0.02,0.006,0.007,0.003,-0.014,0.003
2026-09-01T01:20:27+00:00,C|BTC|up|100000.0,KXBTCMAXMON-BTC-26AUG31-10000000,"Will Bitcoin reach $100,000 in August?",BTC|up|100000.0|2026-08-31,BTC|up|100000.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|BTC|up|85000.0,KXBTCMAXMON-BTC-26AUG31-8500000,"Will Bitcoin reach $85,000 in August?",BTC|up|85000.0|2026-08-31,BTC|up|85000.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|BTC|up|82500.0,KXBTCMAXMON-BTC-26AUG31-8250000,"Will Bitcoin reach $82,500 in August?",BTC|up|82500.0|2026-08-31,BTC|up|82500.0|2026-09-01,deadline_1d,0.0,0.01,0.003,0.005,,-0.007,-0.007
2026-09-01T01:20:27+00:00,C|BTC|up|87500.0,KXBTCMAXMON-BTC-26AUG31-8750000,"Will Bitcoin reach $87,500 in August?",BTC|up|87500.0|2026-08-31,BTC|up|87500.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
2026-09-01T01:20:27+00:00,C|BTC|up|90000.0,KXBTCMAXMON-BTC-26AUG31-9000000,"Will Bitcoin reach $90,000 in August?",BTC|up|90000.0|2026-08-31,BTC|up|90000.0|2026-09-01,deadline_1d,0.0,0.01,,0.001,,,
